fitur_kata,tf_0,tf_1,tf_2,tf_3,tf_4,tf_5,tf_6,tf_7,tf_8,tf_9,tf_10,tf_11,tf_12,tf_13,tf_14,tf_15,tf_16,tf_17,tf_18,tf_19,tf_20,tf_21,tf_22,tf_23,tf_24,tf_25,tf_26,tf_27,tf_28,tf_29,tf_30,tf_31,wtf_0,wtf_1,wtf_2,wtf_3,wtf_4,wtf_5,wtf_6,wtf_7,wtf_8,wtf_9,wtf_10,wtf_11,wtf_12,wtf_13,wtf_14,wtf_15,wtf_16,wtf_17,wtf_18,wtf_19,wtf_20,wtf_21,wtf_22,wtf_23,wtf_24,wtf_25,wtf_26,wtf_27,wtf_28,wtf_29,wtf_30,wtf_31,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,tfidf_20,tfidf_21,tfidf_22,tfidf_23,tfidf_24,tfidf_25,tfidf_26,tfidf_27,tfidf_28,tfidf_29,tfidf_30,tfidf_31
,1,2,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1.3010299956639813,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3010299956639813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4361707244092172,-0.15320490008428433,0.0,0.0,-0.2748503200166648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4078018289267726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4881166390211256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,4,0,0,0,1,1,2,1,1,0,0,1,1,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1.0,1.6020599913279625,0.0,0.0,0.0,1.0,1.0,1.3010299956639813,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.3010299956639813,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.768469340415379,0.0,0.0,0.0,-0.2748503200166648,0.0,-0.3445359311218422,-0.7108786176851729,-0.26740641875290416,0.0,0.0,-0.7323133274712426,-0.7342396044354551,0.0,0.0,0.0,-0.18155777386278632,0.0,0.08354605145007492,-0.6064437391690592,-0.2812606870550129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,6,2,0,0,0,1,0,1,0,0,1,2,2,3,2,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,1.0,1.7781512503836436,1.3010299956639813,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.3010299956639813,1.3010299956639813,1.4771212547196624,1.3010299956639813,0.0,0.0,1.3010299956639813,0.0,1.3010299956639813,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9628515698205224,-0.19932417049235712,0.0,0.0,0.0,0.0,0.0,-0.7108786176851729,0.0,0.0,-0.03462845662532038,-0.9527616052645864,-0.9552677493749835,-0.46299681885033417,-0.5339944732735725,0.0,0.0,-0.20091022107176384,0.0,-0.6064437391690592,0.0,0.0,0.0,0.0,0.6925039620867871,0.8068754016455384,0.0,0.0,0.0,0.0,0.0
,1,38,3,6,3,4,1,4,9,8,3,4,18,18,2,5,5,2,1,3,11,6,2,4,0,0,0,0,1,0,0,0,1.0,2.57978359661681,1.4771212547196624,1.7781512503836436,1.4771212547196624,1.6020599913279625,1.0,1.6020599913279625,1.9542425094393248,1.9030899869919435,1.4771212547196624,1.6020599913279625,2.255272505103306,2.255272505103306,1.3010299956639813,1.6989700043360187,1.6989700043360187,1.3010299956639813,1.0,1.4771212547196624,2.0413926851582254,1.7781512503836436,1.3010299956639813,1.6020599913279625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.847751158021016,-0.22630221424169858,-0.26149078161758466,0.7170718326969181,-0.44032670130238577,0.0,-0.42425403923414795,-1.3892292137318307,-0.5088984779860266,0.30666264809856847,-0.05547686492086149,-1.6515661125666068,-1.6559103920412093,-0.4078018289267726,-0.6973248853574671,-0.25873332911680663,-0.23621210974146298,-0.15442397311464692,0.12340764834480814,-0.9515459422347228,-0.5001240423706339,-0.0630242394631382,0.7031419135050481,0.0,0.0,0.0,0.0,1.585026652029182,0.0,0.0,0.0
,1,14,0,0,0,1,1,3,3,2,1,0,6,6,3,0,0,3,1,1,6,3,3,0,1,0,0,0,0,0,0,0,1.0,2.146128035678238,0.0,0.0,0.0,1.0,1.0,1.4771212547196624,1.4771212547196624,1.3010299956639813,1.0,0.0,1.7781512503836436,1.7781512503836436,1.4771212547196624,0.0,0.0,1.4771212547196624,1.0,1.0,1.7781512503836436,1.4771212547196624,1.4771212547196624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.369050879647045,0.0,0.0,0.0,-0.2748503200166648,0.0,-0.391168034995976,-1.0500539157085018,-0.34790377183061166,0.2076083105017461,0.0,-1.3021638589155966,-1.3055890707080964,-0.46299681885033417,0.0,0.0,-0.26818284673230763,-0.15442397311464692,0.08354605145007492,-0.8288422993202852,-0.41545613896601497,-0.0715544176412569,0.0,0.4881166390211256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,18,1,0,0,2,1,4,10,2,1,1,8,8,3,4,3,1,3,1,5,4,1,0,1,0,0,0,0,0,0,0,1.0,2.255272505103306,1.0,0.0,0.0,1.3010299956639813,1.0,1.6020599913279625,2.0,1.3010299956639813,1.0,1.0,1.9030899869919435,1.9030899869919435,1.4771212547196624,1.6020599913279625,1.4771212547196624,1.0,1.4771212547196624,1.0,1.6989700043360187,1.6020599913279625,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4895324152318272,-0.15320490008428433,0.0,0.0,-0.3575885106595253,0.0,-0.42425403923414795,-1.4217572353703458,-0.34790377183061166,0.2076083105017461,-0.03462845662532038,-1.393658160851274,-1.39732403925404,-0.46299681885033417,-0.6575491603367986,-0.2249483503342805,-0.18155777386278632,-0.22810293292590267,0.08354605145007492,-0.7919338720855384,-0.4505964938642507,-0.048441803550404505,0.0,0.4881166390211256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,32,4,7,0,5,1,5,13,4,1,5,15,15,6,7,4,5,4,2,3,7,0,2,1,0,0,0,0,0,0,0,1.0,2.5051499783199063,1.6020599913279625,1.845098040014257,0.0,1.6989700043360187,1.0,1.6989700043360187,2.113943352306837,1.6020599913279625,1.0,1.6989700043360187,2.1760912590556813,2.1760912590556813,1.7781512503836436,1.845098040014257,1.6020599913279625,1.6989700043360187,1.6020599913279625,1.3010299956639813,1.4771212547196624,1.845098040014257,0.0,1.3010299956639813,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.765365188433864,-0.2454434409004299,-0.2713358205834882,0.0,-0.46696244939046916,0.0,-0.44991753790676725,-1.5027571281526446,-0.42840112490831916,0.2076083105017461,-0.0588327091028702,-1.5935806308001517,-1.597772385264495,-0.5573532773506926,-0.7573016450805811,-0.2439750636816693,-0.308461211846896,-0.24739646902888077,0.10869591895583372,-0.6885244305694252,-0.5189535424182675,0.0,0.5710202649279961,0.4881166390211256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,8,0,0,0,0,1,2,4,1,0,0,3,3,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1.0,1.9030899869919435,0.0,0.0,0.0,0.0,1.0,1.3010299956639813,1.6020599913279625,1.0,0.0,0.0,1.4771212547196624,1.4771212547196624,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1007679564215405,0.0,0.0,0.0,0.0,0.0,-0.3445359311218422,-1.1388701920839421,-0.26740641875290416,0.0,0.0,-1.0817155811222527,-1.084560925768568,-0.3134453704264141,-0.41043978621034655,-0.15228834438305652,-0.18155777386278632,0.0,0.0,-0.46612587041819925,-0.2812606870550129,-0.048441803550404505,0.438898616350944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,2,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1.3010299956639813,1.0,0.0,0.0,1.0,1.0,0.0,1.3010299956639813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4361707244092172,-0.15320490008428433,0.0,0.0,-0.2748503200166648,0.0,0.0,-0.9248744048845575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8068754016455384,0.0,0.0,0.0,0.0,0.0
,1,10,0,0,0,1,1,2,4,2,1,1,4,4,0,0,1,1,0,2,3,3,1,0,0,0,0,0,0,0,0,0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.3010299956639813,1.6020599913279625,1.3010299956639813,1.0,1.0,1.6020599913279625,1.6020599913279625,0.0,0.0,1.0,1.0,0.0,1.3010299956639813,1.4771212547196624,1.4771212547196624,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.207744216806111,0.0,0.0,0.0,-0.2748503200166648,0.0,-0.3445359311218422,-1.1388701920839421,-0.34790377183061166,0.2076083105017461,-0.03462845662532038,-1.1732098830579303,-1.1762958943145119,0.0,0.0,-0.15228834438305652,-0.18155777386278632,0.0,0.10869591895583372,-0.6885244305694252,-0.41545613896601497,-0.048441803550404505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,6,0,1,0,0,1,6,2,0,1,0,2,2,3,3,0,1,3,0,3,1,0,0,1,0,0,0,0,0,0,0,1.0,1.7781512503836436,0.0,1.0,0.0,0.0,1.0,1.7781512503836436,1.3010299956639813,0.0,1.0,0.0,1.3010299956639813,1.3010299956639813,1.4771212547196624,1.4771212547196624,0.0,1.0,1.4771212547196624,0.0,1.4771212547196624,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9628515698205224,0.0,-0.1470576710283599,0.0,0.0,0.0,-0.47088614310828175,-0.9248744048845575,0.0,0.2076083105017461,0.0,-0.9527616052645864,-0.9552677493749835,-0.46299681885033417,-0.6062693319938971,0.0,-0.18155777386278632,-0.22810293292590267,0.0,-0.6885244305694252,-0.2812606870550129,0.0,0.0,0.4881166390211256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,6,0,4,0,1,1,1,2,1,0,0,2,2,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.7781512503836436,0.0,1.6020599913279625,0.0,1.0,1.0,1.0,1.3010299956639813,1.0,0.0,0.0,1.3010299956639813,1.3010299956639813,0.0,1.3010299956639813,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9628515698205224,0.0,-0.23559521117240462,0.0,-0.2748503200166648,0.0,-0.2648178230095365,-0.9248744048845575,-0.26740641875290416,0.0,0.0,-0.9527616052645864,-0.9552677493749835,0.0,-0.5339944732735725,-0.15228834438305652,-0.18155777386278632,0.0,0.08354605145007492,0.0,-0.2812606870550129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,10,2,0,0,1,1,6,4,2,1,3,4,4,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,1.3010299956639813,0.0,0.0,1.0,1.0,1.7781512503836436,1.6020599913279625,1.3010299956639813,1.0,1.4771212547196624,1.6020599913279625,1.6020599913279625,0.0,0.0,1.3010299956639813,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.207744216806111,-0.19932417049235712,0.0,0.0,-0.2748503200166648,0.0,-0.47088614310828175,-1.1388701920839421,-0.34790377183061166,0.2076083105017461,-0.05115042929939865,-1.1732098830579303,-1.1762958943145119,0.0,0.0,-0.1981317040323629,-0.18155777386278632,0.0,0.08354605145007492,-0.46612587041819925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,30,10,0,0,9,1,2,21,3,2,8,14,14,4,5,0,1,2,0,3,2,1,0,0,0,0,0,0,0,0,0,1.0,2.4771212547196626,2.0,0.0,0.0,1.9542425094393248,1.0,1.3010299956639813,2.3222192947339195,1.4771212547196624,1.3010299956639813,1.9030899869919435,2.146128035678238,2.146128035678238,1.6020599913279625,1.6989700043360187,0.0,1.0,1.3010299956639813,0.0,1.4771212547196624,1.3010299956639813,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7344250622174164,-0.30640980016856867,0.0,0.0,-0.5371241791095686,0.0,-0.3445359311218422,-1.650816042202286,-0.39499170478838125,0.2701046393118932,-0.06590106906863205,-1.571638162986852,-1.5757721999842298,-0.502158287427131,-0.6973248853574671,0.0,-0.18155777386278632,-0.20091022107176384,0.0,-0.6885244305694252,-0.36592859045963183,-0.048441803550404505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,24,2,4,1,2,1,3,12,6,1,4,11,11,1,3,3,0,2,2,2,2,3,1,0,0,0,0,0,0,0,0,1.0,2.380211241711606,1.3010299956639813,1.6020599913279625,1.0,1.3010299956639813,1.0,1.4771212547196624,2.079181246047625,1.7781512503836436,1.0,1.6020599913279625,2.0413926851582254,2.0413926851582254,1.0,1.4771212547196624,1.4771212547196624,0.0,1.3010299956639813,1.3010299956639813,1.3010299956639813,1.3010299956639813,1.4771212547196624,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6274488018328452,-0.19932417049235712,-0.23559521117240462,0.4854522473397139,-0.3575885106595253,0.0,-0.391168034995976,-1.478045490107271,-0.47548905786608875,0.2076083105017461,-0.05547686492086149,-1.4949390699436746,-1.4988713576480068,-0.3134453704264141,-0.6062693319938971,-0.2249483503342805,0.0,-0.20091022107176384,0.10869591895583372,-0.6064437391690592,-0.36592859045963183,-0.0715544176412569,0.438898616350944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,8,1,0,0,1,1,0,3,1,0,0,3,3,2,1,1,2,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1.0,1.9030899869919435,1.0,0.0,0.0,1.0,1.0,0.0,1.4771212547196624,1.0,0.0,0.0,1.4771212547196624,1.4771212547196624,1.3010299956639813,1.0,1.0,1.3010299956639813,0.0,0.0,1.3010299956639813,1.0,1.3010299956639813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1007679564215405,-0.15320490008428433,0.0,0.0,-0.2748503200166648,0.0,0.0,-1.0500539157085018,-0.26740641875290416,0.0,0.0,-1.0817155811222527,-1.084560925768568,-0.4078018289267726,-0.41043978621034655,-0.15228834438305652,-0.23621210974146298,0.0,0.0,-0.6064437391690592,-0.2812606870550129,-0.0630242394631382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,14,4,2,0,0,1,2,5,0,0,2,6,6,2,7,2,0,6,0,3,1,2,0,0,0,0,0,0,0,0,0,1.0,2.146128035678238,1.6020599913279625,1.3010299956639813,0.0,0.0,1.0,1.3010299956639813,1.6989700043360187,0.0,0.0,1.3010299956639813,1.7781512503836436,1.7781512503836436,1.3010299956639813,1.845098040014257,1.3010299956639813,0.0,1.7781512503836436,0.0,1.4771212547196624,1.0,1.3010299956639813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.369050879647045,-0.2454434409004299,-0.19132644110038227,0.0,0.0,0.0,-0.3445359311218422,-1.2077614481709613,0.0,0.0,-0.04505266077309094,-1.3021638589155966,-1.3055890707080964,-0.4078018289267726,-0.7573016450805811,-0.1981317040323629,0.0,-0.2745891808830196,0.0,-0.6885244305694252,-0.2812606870550129,-0.0630242394631382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,18,3,3,1,5,1,4,8,2,1,2,8,8,2,4,4,0,2,0,2,2,1,0,0,0,0,0,0,0,0,0,1.0,2.255272505103306,1.4771212547196624,1.4771212547196624,1.0,1.6989700043360187,1.0,1.6020599913279625,1.9030899869919435,1.3010299956639813,1.0,1.3010299956639813,1.9030899869919435,1.9030899869919435,1.3010299956639813,1.6020599913279625,1.6020599913279625,0.0,1.3010299956639813,0.0,1.3010299956639813,1.3010299956639813,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4895324152318272,-0.22630221424169858,-0.2172220115455623,0.4854522473397139,-0.46696244939046916,0.0,-0.42425403923414795,-1.3528659792833264,-0.34790377183061166,0.2076083105017461,-0.04505266077309094,-1.393658160851274,-1.39732403925404,-0.4078018289267726,-0.6575491603367986,-0.2439750636816693,0.0,-0.20091022107176384,0.0,-0.6064437391690592,-0.36592859045963183,-0.048441803550404505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,2,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.3010299956639813,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4361707244092172,0.0,0.0,0.0,0.0,0.0,-0.2648178230095365,-0.7108786176851729,-0.26740641875290416,0.2076083105017461,0.0,0.0,0.0,0.0,-0.41043978621034655,0.0,0.0,0.0,0.0,-0.46612587041819925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,16,3,0,0,0,1,5,6,1,0,3,7,7,2,6,2,1,4,2,2,1,1,2,0,0,0,0,0,0,0,0,1.0,2.204119982655925,1.4771212547196624,0.0,0.0,0.0,1.0,1.6989700043360187,1.7781512503836436,1.0,0.0,1.4771212547196624,1.845098040014257,1.845098040014257,1.3010299956639813,1.7781512503836436,1.3010299956639813,1.0,1.6020599913279625,1.3010299956639813,1.3010299956639813,1.0,1.0,1.3010299956639813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4330665724277023,-0.22630221424169858,0.0,0.0,0.0,0.0,-0.44991753790676725,-1.2640497029078863,-0.26740641875290416,0.0,-0.05115042929939865,-1.3511898851935082,-1.3547440550447014,-0.4078018289267726,-0.7298240190571231,-0.1981317040323629,-0.18155777386278632,-0.24739646902888077,0.10869591895583372,-0.6064437391690592,-0.2812606870550129,-0.048441803550404505,0.5710202649279961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,22,1,0,1,2,1,4,10,2,1,2,10,10,6,3,2,0,3,2,4,4,2,1,2,1,0,0,0,0,0,0,1.0,2.342422680822206,1.0,0.0,1.0,1.3010299956639813,1.0,1.6020599913279625,2.0,1.3010299956639813,1.0,1.3010299956639813,2.0,2.0,1.7781512503836436,1.4771212547196624,1.3010299956639813,0.0,1.4771212547196624,1.3010299956639813,1.6020599913279625,1.6020599913279625,1.3010299956639813,1.0,1.3010299956639813,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5857350634503464,-0.15320490008428433,0.0,0.4854522473397139,-0.3575885106595253,0.0,-0.42425403923414795,-1.4217572353703458,-0.34790377183061166,0.2076083105017461,-0.04505266077309094,-1.4646266549424851,-1.4684792088709102,-0.5573532773506926,-0.6062693319938971,-0.1981317040323629,0.0,-0.22810293292590267,0.10869591895583372,-0.7467616079199193,-0.4505964938642507,-0.0630242394631382,0.438898616350944,0.6350543887491722,0.6925039620867871,0.0,0.0,0.0,0.0,0.0,0.0
,1,10,0,0,0,1,1,2,5,2,0,0,4,4,2,0,0,3,0,1,3,6,0,0,0,0,2,0,0,0,0,0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.3010299956639813,1.6989700043360187,1.3010299956639813,0.0,0.0,1.6020599913279625,1.6020599913279625,1.3010299956639813,0.0,0.0,1.4771212547196624,0.0,1.0,1.4771212547196624,1.7781512503836436,0.0,0.0,0.0,0.0,1.3010299956639813,0.0,0.0,0.0,0.0,0.0,0.0,-2.207744216806111,0.0,0.0,0.0,-0.2748503200166648,0.0,-0.3445359311218422,-1.2077614481709613,-0.34790377183061166,0.0,0.0,-1.1732098830579303,-1.1762958943145119,-0.4078018289267726,0.0,0.0,-0.26818284673230763,0.0,0.08354605145007492,-0.6885244305694252,-0.5001240423706339,0.0,0.0,0.0,0.0,1.049769100304268,0.0,0.0,0.0,0.0,0.0
,1,6,0,0,0,2,1,2,3,1,0,0,2,2,0,1,0,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,1.0,1.7781512503836436,0.0,0.0,0.0,1.3010299956639813,1.0,1.3010299956639813,1.4771212547196624,1.0,0.0,0.0,1.3010299956639813,1.3010299956639813,0.0,1.0,0.0,1.0,0.0,1.0,1.3010299956639813,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9628515698205224,0.0,0.0,0.0,-0.3575885106595253,0.0,-0.3445359311218422,-1.0500539157085018,-0.26740641875290416,0.0,0.0,-0.9527616052645864,-0.9552677493749835,0.0,-0.41043978621034655,0.0,-0.18155777386278632,0.0,0.08354605145007492,-0.6064437391690592,-0.2812606870550129,-0.048441803550404505,0.438898616350944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,18,3,4,0,2,1,3,4,4,0,0,8,8,1,4,3,1,1,2,5,5,1,0,0,0,0,0,0,0,0,0,1.0,2.255272505103306,1.4771212547196624,1.6020599913279625,0.0,1.3010299956639813,1.0,1.4771212547196624,1.6020599913279625,1.6020599913279625,0.0,0.0,1.9030899869919435,1.9030899869919435,1.0,1.6020599913279625,1.4771212547196624,1.0,1.0,1.3010299956639813,1.6989700043360187,1.6989700043360187,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4895324152318272,-0.22630221424169858,-0.23559521117240462,0.0,-0.3575885106595253,0.0,-0.391168034995976,-1.1388701920839421,-0.42840112490831916,0.0,0.0,-1.393658160851274,-1.39732403925404,-0.3134453704264141,-0.6575491603367986,-0.2249483503342805,-0.18155777386278632,-0.15442397311464692,0.10869591895583372,-0.7919338720855384,-0.47785347070540685,-0.048441803550404505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,18,2,3,2,2,1,2,12,1,2,2,8,8,1,5,1,3,1,0,4,0,1,2,0,1,1,0,0,0,0,0,1.0,2.255272505103306,1.3010299956639813,1.4771212547196624,1.3010299956639813,1.3010299956639813,1.0,1.3010299956639813,2.079181246047625,1.0,1.3010299956639813,1.3010299956639813,1.9030899869919435,1.9030899869919435,1.0,1.6989700043360187,1.0,1.4771212547196624,1.0,0.0,1.6020599913279625,0.0,1.0,1.3010299956639813,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4895324152318272,-0.19932417049235712,-0.2172220115455623,0.631587935251458,-0.3575885106595253,0.0,-0.3445359311218422,-1.478045490107271,-0.26740641875290416,0.2701046393118932,-0.04505266077309094,-1.393658160851274,-1.39732403925404,-0.3134453704264141,-0.6973248853574671,-0.15228834438305652,-0.26818284673230763,-0.15442397311464692,0.0,-0.7467616079199193,0.0,-0.048441803550404505,0.5710202649279961,0.0,0.6925039620867871,0.8068754016455384,0.0,0.0,0.0,0.0,0.0
,1,4,0,0,0,0,1,1,2,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1.6020599913279625,0.0,0.0,0.0,0.0,1.0,1.0,1.3010299956639813,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.768469340415379,0.0,0.0,0.0,0.0,0.0,-0.2648178230095365,-0.9248744048845575,-0.26740641875290416,0.0,0.0,-0.7323133274712426,-0.7342396044354551,-0.3134453704264141,0.0,0.0,0.0,-0.15442397311464692,0.08354605145007492,0.0,0.0,-0.048441803550404505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,2,0,0,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.3010299956639813,0.0,0.0,0.0,0.0,1.0,1.3010299956639813,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4361707244092172,0.0,0.0,0.0,0.0,0.0,-0.3445359311218422,-0.7108786176851729,0.0,0.0,-0.03462845662532038,0.0,0.0,0.0,0.0,-0.15228834438305652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,18,3,0,0,2,1,2,10,2,1,5,8,8,2,5,3,2,2,1,4,2,2,2,0,0,0,0,0,0,1,0,1.0,2.255272505103306,1.4771212547196624,0.0,0.0,1.3010299956639813,1.0,1.3010299956639813,2.0,1.3010299956639813,1.0,1.6989700043360187,1.9030899869919435,1.9030899869919435,1.3010299956639813,1.6989700043360187,1.4771212547196624,1.3010299956639813,1.3010299956639813,1.0,1.6020599913279625,1.3010299956639813,1.3010299956639813,1.3010299956639813,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.4895324152318272,-0.22630221424169858,0.0,0.0,-0.3575885106595253,0.0,-0.3445359311218422,-1.4217572353703458,-0.34790377183061166,0.2076083105017461,-0.0588327091028702,-1.393658160851274,-1.39732403925404,-0.4078018289267726,-0.6973248853574671,-0.2249483503342805,-0.23621210974146298,-0.20091022107176384,0.08354605145007492,-0.7467616079199193,-0.36592859045963183,-0.0630242394631382,0.5710202649279961,0.0,0.0,0.0,0.0,0.0,0.0,1.5228787452803376,0.0
,1,18,1,0,2,3,1,4,4,4,1,2,8,8,3,1,0,0,1,0,7,5,1,1,0,0,0,0,0,0,0,0,1.0,2.255272505103306,1.0,0.0,1.3010299956639813,1.4771212547196624,1.0,1.6020599913279625,1.6020599913279625,1.6020599913279625,1.0,1.3010299956639813,1.9030899869919435,1.9030899869919435,1.4771212547196624,1.0,0.0,0.0,1.0,0.0,1.845098040014257,1.6989700043360187,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4895324152318272,-0.15320490008428433,0.0,0.631587935251458,-0.40598724956311666,0.0,-0.42425403923414795,-1.1388701920839421,-0.42840112490831916,0.2076083105017461,-0.04505266077309094,-1.393658160851274,-1.39732403925404,-0.46299681885033417,-0.41043978621034655,0.0,0.0,-0.15442397311464692,0.0,-0.8600479299085589,-0.47785347070540685,-0.048441803550404505,0.438898616350944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
