,rawContent,caseFolding,cleaning,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW,tweet_tokens_normalized,tweet_tokens_stemmed
198,"Developer babi, server sering eror , sering ngebug, matching sampah, nambah stres doang, yg blum pernah main jangan download stres ntar download HOK aja nanti.","developer babi, server sering eror , sering ngebug, matching sampah, nambah stres doang, yg blum pernah main jangan download stres ntar download hok aja nanti.",developer babi server sering eror sering ngebug matching sampah nambah stres doang yg blum pernah main jangan download stres ntar download hok aja nanti,"['developer', 'babi', 'server', 'sering', 'eror', 'sering', 'ngebug', 'matching', 'sampah', 'nambah', 'stres', 'doang', 'yg', 'blum', 'pernah', 'main', 'jangan', 'download', 'stres', 'ntar', 'download', 'hok', 'aja', 'nanti']",<FreqDist with 21 samples and 24 outcomes>,"['babi', 'ngebug', 'sampah', 'nambah', 'stres', 'blum', 'stres', 'hok']","['babi', 'ngebug', 'sampah', 'nambah', 'stres', 'belum,', 'stres', 'hok']","['babi', 'ngebug', 'sampah', 'nambah', 'stres', 'belum', 'stres', 'hok']"
199,"Game busuk, game babi tiap maen kalah terus","game busuk, game babi tiap maen kalah terus",game busuk game babi tiap maen kalah terus,"['game', 'busuk', 'game', 'babi', 'tiap', 'maen', 'kalah', 'terus']",<FreqDist with 7 samples and 8 outcomes>,"['busuk', 'babi', 'maen', 'kalah']","['busuk,', 'babi', 'main,', 'kalah']","['busuk', 'babi', 'main', 'kalah']"
200,"Game nya bagus grafik nya bagus tapi pemain nya semua nya dark system' semua,tolong ajg","game nya bagus grafik nya bagus tapi pemain nya semua nya dark system' semua,tolong ajg",game nya bagus grafik nya bagus tapi pemain nya semua nya dark system semua tolong ajg,"['game', 'nya', 'bagus', 'grafik', 'nya', 'bagus', 'tapi', 'pemain', 'nya', 'semua', 'nya', 'dark', 'system', 'semua', 'tolong', 'ajg']",<FreqDist with 11 samples and 16 outcomes>,"['grafik', 'pemain', 'dark', 'ajg']","['grafik', 'pemain,', 'dark', 'ajg']","['grafik', 'main', 'dark', 'ajg']"
201,Assalamu'alaikum udh betul jadi game terbaik tapi jangan lah kasih tim jelek,assalamu'alaikum udh betul jadi game terbaik tapi jangan lah kasih tim jelek,assalamualaikum udh betul jadi game terbaik tapi jangan lah kasih tim jelek,"['assalamualaikum', 'udh', 'betul', 'jadi', 'game', 'terbaik', 'tapi', 'jangan', 'lah', 'kasih', 'tim', 'jelek']",<FreqDist with 12 samples and 12 outcomes>,"['assalamualaikum', 'terbaik', 'tim', 'jelek']","['assalamualaikum', 'terbaik', 'tim', 'jelek']","['assalamualaikum', 'baik', 'tim', 'jelek']"
202,"Banyak akun joki , renk tinggi tapi gempely kaya epik tolol monton sistem ya ke mana","banyak akun joki , renk tinggi tapi gempely kaya epik tolol monton sistem ya ke mana",banyak akun joki renk tinggi tapi gempely kaya epik tolol monton sistem ya ke mana,"['banyak', 'akun', 'joki', 'renk', 'tinggi', 'tapi', 'gempely', 'kaya', 'epik', 'tolol', 'monton', 'sistem', 'ya', 'ke', 'mana']",<FreqDist with 15 samples and 15 outcomes>,"['akun', 'joki', 'renk', 'gempely', 'epik', 'tolol', 'monton', 'sistem']","['akun', 'joki', 'renk', 'gempely', 'epik', 'bodoh,', 'moonton,', 'sistim,']","['akun', 'joki', 'renk', 'gempely', 'epik', 'bodoh', 'moonton', 'sistim']"
203,Ngelek bet asuðŸ‘ðŸ‘„ðŸ‘,ngelek bet asuðÿ‘ðÿ‘„ðÿ‘,ngelek bet asu,"['ngelek', 'bet', 'asu']",<FreqDist with 3 samples and 3 outcomes>,['asu'],['asu'],['asu']
204,"Gw punya pesan pada player epik pertama main tuh yg bener sok sok an mau pake titel top global padahal kagak bisa main kedua ga usah rebutan Lane atau roll plis lah moonton kasih player yg bener bisa diatur,sadar diri,kaga nyalahin orang, dan sebenarnya mlbb gamenya bagus ya tapi player nya aja yg ga bisa main","gw punya pesan pada player epik pertama main tuh yg bener sok sok an mau pake titel top global padahal kagak bisa main kedua ga usah rebutan lane atau roll plis lah moonton kasih player yg bener bisa diatur,sadar diri,kaga nyalahin orang, dan sebenarnya mlbb gamenya bagus ya tapi player nya aja yg ga bisa main",gw punya pesan pada player epik pertama main tuh yg bener sok sok an mau pake titel top global padahal kagak bisa main kedua ga usah rebutan lane atau roll plis lah moonton kasih player yg bener bisa diatur sadar diri kaga nyalahin orang dan sebenarnya mlbb gamenya bagus ya tapi player nya aja yg ga bisa main,"['gw', 'punya', 'pesan', 'pada', 'player', 'epik', 'pertama', 'main', 'tuh', 'yg', 'bener', 'sok', 'sok', 'an', 'mau', 'pake', 'titel', 'top', 'global', 'padahal', 'kagak', 'bisa', 'main', 'kedua', 'ga', 'usah', 'rebutan', 'lane', 'atau', 'roll', 'plis', 'lah', 'moonton', 'kasih', 'player', 'yg', 'bener', 'bisa', 'diatur', 'sadar', 'diri', 'kaga', 'nyalahin', 'orang', 'dan', 'sebenarnya', 'mlbb', 'gamenya', 'bagus', 'ya', 'tapi', 'player', 'nya', 'aja', 'yg', 'ga', 'bisa', 'main']",<FreqDist with 47 samples and 58 outcomes>,"['pesan', 'player', 'epik', 'bener', 'sok', 'sok', 'pake', 'titel', 'top', 'global', 'kagak', 'rebutan', 'lane', 'roll', 'plis', 'player', 'bener', 'diatur', 'sadar', 'kaga', 'nyalahin', 'orang', 'gamenya', 'player']","['pesan', 'pengguna,', 'epik', 'benar,', 'sok', 'sok', 'pakai,', 'titel', 'top', 'global', 'tidak,', 'rebutan', 'lane', 'roll', 'tolonh,', 'pengguna,', 'benar,', 'diatur', 'sadar', 'tidak,', 'salah,', 'orang', 'gim,', 'pengguna,']","['pesan', 'guna', 'epik', 'benar', 'sok', 'sok', 'pakai', 'titel', 'top', 'global', 'tidak', 'rebut', 'lane', 'roll', 'tolonh', 'guna', 'benar', 'atur', 'sadar', 'tidak', 'salah', 'orang', 'gim', 'guna']"
205,Moonton lo kalo nyari in temen yang ngotak lah ajg yakali musuh udah kaya penjoki giliran tim kaya bocil epic ajg,moonton lo kalo nyari in temen yang ngotak lah ajg yakali musuh udah kaya penjoki giliran tim kaya bocil epic ajg,moonton lo kalo nyari in temen yang ngotak lah ajg yakali musuh udah kaya penjoki giliran tim kaya bocil epic ajg,"['moonton', 'lo', 'kalo', 'nyari', 'in', 'temen', 'yang', 'ngotak', 'lah', 'ajg', 'yakali', 'musuh', 'udah', 'kaya', 'penjoki', 'giliran', 'tim', 'kaya', 'bocil', 'epic', 'ajg']",<FreqDist with 19 samples and 21 outcomes>,"['kalo', 'nyari', 'temen', 'ajg', 'yakali', 'penjoki', 'giliran', 'tim', 'bocil', 'epic', 'ajg']","['kalau,', 'mencari,', 'teman,', 'ajg', 'ragu,', 'penjoki', 'gilir,', 'tim', 'bocil', 'epic', 'ajg']","['kalau', 'cari', 'teman', 'ajg', 'ragu', 'joki', 'gilir', 'tim', 'bocil', 'epic', 'ajg']"
206,"Menurut saya ketika team match seharusnya tidak bertabrakan roll yang sama, seperti marksman bertemu marksman padahal roll kita marksman masih aja kena tabrak Ama roll yang sama ini harus di perbaiki, tidak seperti game sebelah, sistemnya tidak bertabrakan atau roll nya tidak sama ini yang harus menjadi koreksi montoon","menurut saya ketika team match seharusnya tidak bertabrakan roll yang sama, seperti marksman bertemu marksman padahal roll kita marksman masih aja kena tabrak ama roll yang sama ini harus di perbaiki, tidak seperti game sebelah, sistemnya tidak bertabrakan atau roll nya tidak sama ini yang harus menjadi koreksi montoon",menurut saya ketika team match seharusnya tidak bertabrakan roll yang sama seperti marksman bertemu marksman padahal roll kita marksman masih aja kena tabrak ama roll yang sama ini harus di perbaiki tidak seperti game sebelah sistemnya tidak bertabrakan atau roll nya tidak sama ini yang harus menjadi koreksi montoon,"['menurut', 'saya', 'ketika', 'team', 'match', 'seharusnya', 'tidak', 'bertabrakan', 'roll', 'yang', 'sama', 'seperti', 'marksman', 'bertemu', 'marksman', 'padahal', 'roll', 'kita', 'marksman', 'masih', 'aja', 'kena', 'tabrak', 'ama', 'roll', 'yang', 'sama', 'ini', 'harus', 'di', 'perbaiki', 'tidak', 'seperti', 'game', 'sebelah', 'sistemnya', 'tidak', 'bertabrakan', 'atau', 'roll', 'nya', 'tidak', 'sama', 'ini', 'yang', 'harus', 'menjadi', 'koreksi', 'montoon']",<FreqDist with 33 samples and 49 outcomes>,"['bertabrakan', 'roll', 'marksman', 'bertemu', 'marksman', 'roll', 'marksman', 'kena', 'tabrak', 'roll', 'perbaiki', 'sebelah', 'sistemnya', 'bertabrakan', 'roll', 'koreksi', 'montoon']","['bertabrakan', 'roll', 'marksman', 'bertemu', 'marksman', 'roll', 'marksman', 'kena,', 'tabrak', 'roll', 'perbaiki', 'sebelah', 'sistemnya', 'bertabrakan', 'roll', 'koreksi', 'montoon']","['tabrak', 'roll', 'marksman', 'temu', 'marksman', 'roll', 'marksman', 'kena', 'tabrak', 'roll', 'baik', 'belah', 'sistem', 'tabrak', 'roll', 'koreksi', 'montoon']"
207,Heeee koe nak gawe game ki leng apik ora napsu internet,heeee koe nak gawe game ki leng apik ora napsu internet,heeee koe nak gawe game ki leng apik ora napsu internet,"['heeee', 'koe', 'nak', 'gawe', 'game', 'ki', 'leng', 'apik', 'ora', 'napsu', 'internet']",<FreqDist with 11 samples and 11 outcomes>,"['heeee', 'koe', 'nak', 'gawe', 'ki', 'leng', 'apik', 'ora', 'napsu', 'internet']","['heeee', 'koe', 'hendak,', 'kerja,', 'ki', 'leng', 'apik', 'ora', 'napsu', 'internet']","['heeee', 'koe', 'hendak', 'kerja', 'ki', 'leng', 'apik', 'ora', 'napsu', 'internet']"
208,Maaf moonton saya mau pindah game Karena apa masa saya main dari mitik honor bintang 40 turun ke mitik bintang 18 ga adil sumpah mana dapat tim tolol lagi mana sinyal nya suka ngelag padahal sinyal di nya hijau tapi kenapa malah ngelag??,maaf moonton saya mau pindah game karena apa masa saya main dari mitik honor bintang 40 turun ke mitik bintang 18 ga adil sumpah mana dapat tim tolol lagi mana sinyal nya suka ngelag padahal sinyal di nya hijau tapi kenapa malah ngelag??,maaf moonton saya mau pindah game karena apa masa saya main dari mitik honor bintang turun ke mitik bintang ga adil sumpah mana dapat tim tolol lagi mana sinyal nya suka ngelag padahal sinyal di nya hijau tapi kenapa malah ngelag,"['maaf', 'moonton', 'saya', 'mau', 'pindah', 'game', 'karena', 'apa', 'masa', 'saya', 'main', 'dari', 'mitik', 'honor', 'bintang', 'turun', 'ke', 'mitik', 'bintang', 'ga', 'adil', 'sumpah', 'mana', 'dapat', 'tim', 'tolol', 'lagi', 'mana', 'sinyal', 'nya', 'suka', 'ngelag', 'padahal', 'sinyal', 'di', 'nya', 'hijau', 'tapi', 'kenapa', 'malah', 'ngelag']",<FreqDist with 34 samples and 41 outcomes>,"['maaf', 'mitik', 'honor', 'mitik', 'adil', 'sumpah', 'tim', 'tolol', 'suka', 'ngelag', 'hijau', 'ngelag']","['maaf', 'mitik', 'honor', 'mitik', 'adil', 'sumpah', 'tim', 'bodoh,', 'suka', 'lag,', 'hijau', 'lag,']","['maaf', 'mitik', 'honor', 'mitik', 'adil', 'sumpah', 'tim', 'bodoh', 'suka', 'lag', 'hijau', 'lag']"
209,"Kalo ga kuat nahan emosi ga usah main game ini,game ini bikin kita malah makin stress bukan menjadi tenang karna banyak player yg berkata kasar ataupun membully dalam game. Dan sistem matchmaking nya pun ga seimbang, kita nya solo musuh nya partyan tolong perbaiki sistem nya dulu dibandingkan update besar tapi tidak diperbaiki sistem matchmaking nya","kalo ga kuat nahan emosi ga usah main game ini,game ini bikin kita malah makin stress bukan menjadi tenang karna banyak player yg berkata kasar ataupun membully dalam game. dan sistem matchmaking nya pun ga seimbang, kita nya solo musuh nya partyan tolong perbaiki sistem nya dulu dibandingkan update besar tapi tidak diperbaiki sistem matchmaking nya",kalo ga kuat nahan emosi ga usah main game ini game ini bikin kita malah makin stress bukan menjadi tenang karna banyak player yg berkata kasar ataupun membully dalam game dan sistem matchmaking nya pun ga seimbang kita nya solo musuh nya partyan tolong perbaiki sistem nya dulu dibandingkan update besar tapi tidak diperbaiki sistem matchmaking nya,"['kalo', 'ga', 'kuat', 'nahan', 'emosi', 'ga', 'usah', 'main', 'game', 'ini', 'game', 'ini', 'bikin', 'kita', 'malah', 'makin', 'stress', 'bukan', 'menjadi', 'tenang', 'karna', 'banyak', 'player', 'yg', 'berkata', 'kasar', 'ataupun', 'membully', 'dalam', 'game', 'dan', 'sistem', 'matchmaking', 'nya', 'pun', 'ga', 'seimbang', 'kita', 'nya', 'solo', 'musuh', 'nya', 'partyan', 'tolong', 'perbaiki', 'sistem', 'nya', 'dulu', 'dibandingkan', 'update', 'besar', 'tapi', 'tidak', 'diperbaiki', 'sistem', 'matchmaking', 'nya']",<FreqDist with 44 samples and 57 outcomes>,"['kalo', 'kuat', 'nahan', 'emosi', 'bikin', 'stress', 'tenang', 'player', 'kasar', 'membully', 'sistem', 'seimbang', 'partyan', 'perbaiki', 'sistem', 'dibandingkan', 'diperbaiki', 'sistem']","['kalau,', 'kuat', 'nahan', 'marah,', 'buat,', 'stress', 'tenang', 'pengguna,', 'kasar', 'membully', 'sistim,', 'seimbang', 'partyan', 'perbaiki', 'sistim,', 'dibandingkan', 'diperbaiki', 'sistim,']","['kalau', 'kuat', 'nahan', 'marah', 'buat', 'stress', 'tenang', 'guna', 'kasar', 'membully', 'sistim', 'imbang', 'partyan', 'baik', 'sistim', 'banding', 'baik', 'sistim']"
210,"Gw dikasih dark sistem mulu ajg, mana 1 bintang lagi naik rank, moonton bgst","gw dikasih dark sistem mulu ajg, mana 1 bintang lagi naik rank, moonton bgst",gw dikasih dark sistem mulu ajg mana bintang lagi naik rank moonton bgst,"['gw', 'dikasih', 'dark', 'sistem', 'mulu', 'ajg', 'mana', 'bintang', 'lagi', 'naik', 'rank', 'moonton', 'bgst']",<FreqDist with 13 samples and 13 outcomes>,"['dikasih', 'dark', 'sistem', 'mulu', 'ajg', 'bgst']","['dikasih', 'dark', 'sistim,', 'melulu,', 'ajg', 'bangsat,']","['kasih', 'dark', 'sistim', 'melulu', 'ajg', 'bangsat']"
211,Masa lagi telpon ama bokap di afk in gimanaaa ini padahal kurang 2 menit menang masa afk,masa lagi telpon ama bokap di afk in gimanaaa ini padahal kurang 2 menit menang masa afk,masa lagi telpon ama bokap di afk in gimanaaa ini padahal kurang menit menang masa afk,"['masa', 'lagi', 'telpon', 'ama', 'bokap', 'di', 'afk', 'in', 'gimanaaa', 'ini', 'padahal', 'kurang', 'menit', 'menang', 'masa', 'afk']",<FreqDist with 14 samples and 16 outcomes>,"['telpon', 'bokap', 'gimanaaa', 'menang']","['telpon', 'ayah,', 'gimanaaa', 'menang']","['telpon', 'ayah', 'gimanaaa', 'menang']"
212,belakangan ini suka relog sendiri padahal penyimpanan udh ga penuh,belakangan ini suka relog sendiri padahal penyimpanan udh ga penuh,belakangan ini suka relog sendiri padahal penyimpanan udh ga penuh,"['belakangan', 'ini', 'suka', 'relog', 'sendiri', 'padahal', 'penyimpanan', 'udh', 'ga', 'penuh']",<FreqDist with 10 samples and 10 outcomes>,"['suka', 'penyimpanan', 'penuh']","['suka', 'penyimpanan', 'penuh']","['suka', 'simpan', 'penuh']"
213,Ngasih tim yg bner lah ajg lawak trs ngsih timnya lu,ngasih tim yg bner lah ajg lawak trs ngsih timnya lu,ngasih tim yg bner lah ajg lawak trs ngsih timnya lu,"['ngasih', 'tim', 'yg', 'bner', 'lah', 'ajg', 'lawak', 'trs', 'ngsih', 'timnya', 'lu']",<FreqDist with 11 samples and 11 outcomes>,"['ngasih', 'tim', 'bner', 'ajg', 'lawak', 'ngsih', 'timnya', 'lu']","['memberikan,', 'tim', 'bner', 'ajg', 'lawak', 'ngsih', 'timnya', 'kamu,']","['beri', 'tim', 'bner', 'ajg', 'lawak', 'ngsih', 'tim', 'kamu']"
214,Balance emblem dah full masih aja ada yg full damage dan beta server samain aja bang,balance emblem dah full masih aja ada yg full damage dan beta server samain aja bang,balance emblem dah full masih aja ada yg full damage dan beta server samain aja bang,"['balance', 'emblem', 'dah', 'full', 'masih', 'aja', 'ada', 'yg', 'full', 'damage', 'dan', 'beta', 'server', 'samain', 'aja', 'bang']",<FreqDist with 14 samples and 16 outcomes>,"['balance', 'damage', 'beta', 'samain', 'bang']","['balance', 'damage', 'beta', 'samain', 'bang']","['balance', 'damage', 'beta', 'samain', 'bang']"
215,Saya lose starik sampai 12 kali dan saya meng hapus game ini mending main ff dari pada ml buruk jangan pernah instal ml buruk bengak baru juga satu bintang lagi epic 3 mlah loseteraik sampai 123 kali sampai turun elit,saya lose starik sampai 12 kali dan saya meng hapus game ini mending main ff dari pada ml buruk jangan pernah instal ml buruk bengak baru juga satu bintang lagi epic 3 mlah loseteraik sampai 123 kali sampai turun elit,saya lose starik sampai kali dan saya meng hapus game ini mending main ff dari pada ml buruk jangan pernah instal ml buruk bengak baru juga satu bintang lagi epic mlah loseteraik sampai kali sampai turun elit,"['saya', 'lose', 'starik', 'sampai', 'kali', 'dan', 'saya', 'meng', 'hapus', 'game', 'ini', 'mending', 'main', 'ff', 'dari', 'pada', 'ml', 'buruk', 'jangan', 'pernah', 'instal', 'ml', 'buruk', 'bengak', 'baru', 'juga', 'satu', 'bintang', 'lagi', 'epic', 'mlah', 'loseteraik', 'sampai', 'kali', 'sampai', 'turun', 'elit']",<FreqDist with 31 samples and 37 outcomes>,"['starik', 'meng', 'hapus', 'mending', 'ff', 'buruk', 'instal', 'buruk', 'bengak', 'epic', 'mlah', 'loseteraik', 'elit']","['starik', 'meng', 'hapus', 'lebihbaik,', 'free fire,', 'buruk', 'instal', 'buruk', 'bengak', 'epic', 'malah,', 'loseteraik', 'elit']","['starik', 'meng', 'hapus', 'lebihbaik', 'free fire', 'buruk', 'instal', 'buruk', 'bengak', 'epic', 'malah', 'loseteraik', 'elit']"
216,Semakin sekarang moonton gak jelas.. lagi main keluar sendiri...gara gara upgrade nya terlalu besar...kurangi datanya...,semakin sekarang moonton gak jelas.. lagi main keluar sendiri...gara gara upgrade nya terlalu besar...kurangi datanya...,semakin sekarang moonton gak jelas lagi main keluar sendiri gara gara upgrade nya terlalu besar kurangi datanya,"['semakin', 'sekarang', 'moonton', 'gak', 'jelas', 'lagi', 'main', 'keluar', 'sendiri', 'gara', 'gara', 'upgrade', 'nya', 'terlalu', 'besar', 'kurangi', 'datanya']",<FreqDist with 16 samples and 17 outcomes>,"['gak', 'gara', 'gara', 'kurangi', 'datanya']","['tidak,', 'karena,', 'karena,', 'kurangi', 'datanya']","['tidak', 'karena', 'karena', 'kurang', 'data']"
217,"Sering dapat tim yang egois,sering ngelag,kadang keluar sendiri,pliss update lagi moonton","sering dapat tim yang egois,sering ngelag,kadang keluar sendiri,pliss update lagi moonton",sering dapat tim yang egois sering ngelag kadang keluar sendiri pliss update lagi moonton,"['sering', 'dapat', 'tim', 'yang', 'egois', 'sering', 'ngelag', 'kadang', 'keluar', 'sendiri', 'pliss', 'update', 'lagi', 'moonton']",<FreqDist with 13 samples and 14 outcomes>,"['tim', 'egois', 'ngelag', 'pliss']","['tim', 'egois', 'lag,', 'pliss']","['tim', 'egois', 'lag', 'pliss']"
218,Lu kalo kasih musuh ngotak goblok gua minta nerf hero ga di nerf tolol,lu kalo kasih musuh ngotak goblok gua minta nerf hero ga di nerf tolol,lu kalo kasih musuh ngotak goblok gua minta nerf hero ga di nerf tolol,"['lu', 'kalo', 'kasih', 'musuh', 'ngotak', 'goblok', 'gua', 'minta', 'nerf', 'hero', 'ga', 'di', 'nerf', 'tolol']",<FreqDist with 13 samples and 14 outcomes>,"['lu', 'kalo', 'goblok', 'gua', 'hero', 'tolol']","['kamu,', 'kalau,', 'bodoh,', 'saya,', 'hero', 'bodoh,']","['kamu', 'kalau', 'bodoh', 'saya', 'hero', 'bodoh']"
219,"tolong kalo kasih tim yg bener lah, saya ls belasan kali, kalo gini terus lama lama pindah game juga nih ke game sebelah","tolong kalo kasih tim yg bener lah, saya ls belasan kali, kalo gini terus lama lama pindah game juga nih ke game sebelah",tolong kalo kasih tim yg bener lah saya ls belasan kali kalo gini terus lama lama pindah game juga nih ke game sebelah,"['tolong', 'kalo', 'kasih', 'tim', 'yg', 'bener', 'lah', 'saya', 'ls', 'belasan', 'kali', 'kalo', 'gini', 'terus', 'lama', 'lama', 'pindah', 'game', 'juga', 'nih', 'ke', 'game', 'sebelah']",<FreqDist with 20 samples and 23 outcomes>,"['kalo', 'tim', 'bener', 'ls', 'belasan', 'kalo', 'gini', 'nih', 'sebelah']","['kalau,', 'tim', 'benar,', 'ls', 'belasan', 'kalau,', 'begini,', 'ini,', 'sebelah']","['kalau', 'tim', 'benar', 'ls', 'bas', 'kalau', 'begini', 'ini', 'belah']"
220,TERUNTUK MOONTOn PLISS KASI GUA WIN STREAK KARNA GUA MAU RASAIN RANK MYTICK IMMO GUA PEN RASAIN MOONTOD GUA MYTICK IMMO MOONTOD SEKALI LAGI PLISS KASI GUA WIN STREAK SETRES GUA SAMA TIM APALAGI HERO NANA HRM ITU!! GUA PEN RASAIN MYTICK IMMO MOONTOD!!!!!!!!!!!!!!!!,teruntuk moonton pliss kasi gua win streak karna gua mau rasain rank mytick immo gua pen rasain moontod gua mytick immo moontod sekali lagi pliss kasi gua win streak setres gua sama tim apalagi hero nana hrm itu!! gua pen rasain mytick immo moontod!!!!!!!!!!!!!!!!,teruntuk moonton pliss kasi gua win streak karna gua mau rasain rank mytick immo gua pen rasain moontod gua mytick immo moontod sekali lagi pliss kasi gua win streak setres gua sama tim apalagi hero nana hrm itu gua pen rasain mytick immo moontod,"['teruntuk', 'moonton', 'pliss', 'kasi', 'gua', 'win', 'streak', 'karna', 'gua', 'mau', 'rasain', 'rank', 'mytick', 'immo', 'gua', 'pen', 'rasain', 'moontod', 'gua', 'mytick', 'immo', 'moontod', 'sekali', 'lagi', 'pliss', 'kasi', 'gua', 'win', 'streak', 'setres', 'gua', 'sama', 'tim', 'apalagi', 'hero', 'nana', 'hrm', 'itu', 'gua', 'pen', 'rasain', 'mytick', 'immo', 'moontod']",<FreqDist with 25 samples and 44 outcomes>,"['teruntuk', 'pliss', 'gua', 'streak', 'gua', 'rasain', 'mytick', 'immo', 'gua', 'pen', 'rasain', 'moontod', 'gua', 'mytick', 'immo', 'moontod', 'pliss', 'gua', 'streak', 'setres', 'gua', 'tim', 'hero', 'nana', 'hrm', 'gua', 'pen', 'rasain', 'mytick', 'immo', 'moontod']","['teruntuk', 'pliss', 'saya,', 'streak', 'saya,', 'rasain', 'mytick', 'immo', 'saya,', 'pen', 'rasain', 'moontod', 'saya,', 'mytick', 'immo', 'moontod', 'pliss', 'saya,', 'streak', 'setres', 'saya,', 'tim', 'hero', 'nana', 'hrm', 'saya,', 'pen', 'rasain', 'mytick', 'immo', 'moontod']","['untuk', 'pliss', 'saya', 'streak', 'saya', 'rasain', 'mytick', 'immo', 'saya', 'pen', 'rasain', 'moontod', 'saya', 'mytick', 'immo', 'moontod', 'pliss', 'saya', 'streak', 'tres', 'saya', 'tim', 'hero', 'nana', 'hrm', 'saya', 'pen', 'rasain', 'mytick', 'immo', 'moontod']"
221,Apaan ini makin kesini main Makin ngasih tim Gak jelas banget tiap solo Gak setara sama musuh.diperbaiki lagi ini game!!!!,apaan ini makin kesini main makin ngasih tim gak jelas banget tiap solo gak setara sama musuh.diperbaiki lagi ini game!!!!,apaan ini makin kesini main makin ngasih tim gak jelas banget tiap solo gak setara sama musuh diperbaiki lagi ini game,"['apaan', 'ini', 'makin', 'kesini', 'main', 'makin', 'ngasih', 'tim', 'gak', 'jelas', 'banget', 'tiap', 'solo', 'gak', 'setara', 'sama', 'musuh', 'diperbaiki', 'lagi', 'ini', 'game']",<FreqDist with 18 samples and 21 outcomes>,"['ngasih', 'tim', 'gak', 'banget', 'gak', 'setara', 'diperbaiki']","['memberikan,', 'tim', 'tidak,', 'banget', 'tidak,', 'setara', 'diperbaiki']","['beri', 'tim', 'tidak', 'banget', 'tidak', 'tara', 'baik']"
222,"Mohon jangan di kasih batasan untuk battle poinnya,susah buat beli heroðŸ™ðŸ™ðŸ™","mohon jangan di kasih batasan untuk battle poinnya,susah buat beli heroðÿ™ðÿ™ðÿ™",mohon jangan di kasih batasan untuk battle poinnya susah buat beli hero,"['mohon', 'jangan', 'di', 'kasih', 'batasan', 'untuk', 'battle', 'poinnya', 'susah', 'buat', 'beli', 'hero']",<FreqDist with 12 samples and 12 outcomes>,"['batasan', 'poinnya', 'susah', 'beli', 'hero']","['batasan', 'poinnya', 'susah', 'beli', 'hero']","['batas', 'poin', 'susah', 'beli', 'hero']"
223,Tolong perbaiki matchmaking,tolong perbaiki matchmaking,tolong perbaiki matchmaking,"['tolong', 'perbaiki', 'matchmaking']",<FreqDist with 3 samples and 3 outcomes>,['perbaiki'],['perbaiki'],['baik']
224,"Saya merasa tertipu dengan event yang diadakan oleh game ini, padahal sudah jelas tertulis di pojok kanan bawah halaman event ""dijamin dapat 1 skin kolaborasi dalam 10x gacha"" namun setelah 10x gacha saya tidak mendapatkan apa-apa, kan lebih baik kita pindah ke game king of honor saja?","saya merasa tertipu dengan event yang diadakan oleh game ini, padahal sudah jelas tertulis di pojok kanan bawah halaman event ""dijamin dapat 1 skin kolaborasi dalam 10x gacha"" namun setelah 10x gacha saya tidak mendapatkan apa-apa, kan lebih baik kita pindah ke game king of honor saja?",saya merasa tertipu dengan event yang diadakan oleh game ini padahal sudah jelas tertulis di pojok kanan bawah halaman event dijamin dapat skin kolaborasi dalam gacha namun setelah gacha saya tidak mendapatkan apa apa kan lebih baik kita pindah ke game king of honor saja,"['saya', 'merasa', 'tertipu', 'dengan', 'event', 'yang', 'diadakan', 'oleh', 'game', 'ini', 'padahal', 'sudah', 'jelas', 'tertulis', 'di', 'pojok', 'kanan', 'bawah', 'halaman', 'event', 'dijamin', 'dapat', 'skin', 'kolaborasi', 'dalam', 'gacha', 'namun', 'setelah', 'gacha', 'saya', 'tidak', 'mendapatkan', 'apa', 'apa', 'kan', 'lebih', 'baik', 'kita', 'pindah', 'ke', 'game', 'king', 'of', 'honor', 'saja']",<FreqDist with 40 samples and 45 outcomes>,"['tertipu', 'event', 'diadakan', 'tertulis', 'pojok', 'kanan', 'halaman', 'event', 'dijamin', 'kolaborasi', 'king', 'of', 'honor']","['tertipu', 'kegiatan,', 'diadakan', 'tertulis', 'pojok', 'kanan', 'halaman', 'kegiatan,', 'dijamin', 'kolaborasi', 'king', 'of', 'honor']","['tipu', 'giat', 'ada', 'tulis', 'pojok', 'kanan', 'halaman', 'giat', 'jamin', 'kolaborasi', 'king', 'of', 'honor']"
