,rawContent,caseFolding,cleaning,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW,tweet_tokens_normalized,tweet_tokens_stemmed
11,Bodoh moonton tolol ngasih team kek babi,bodoh moonton tolol ngasih team kek babi,bodoh moonton tolol ngasih team kek babi,"['bodoh', 'moonton', 'tolol', 'ngasih', 'team', 'kek', 'babi']",<FreqDist with 7 samples and 7 outcomes>,"['bodoh', 'tolol', 'ngasih', 'kek', 'babi']","['bodoh', 'bodoh,', 'memberikan,', 'seperti,', 'babi']","['bodoh', 'bodoh', 'beri', 'seperti', 'babi']"
12,"pembagian tim gak seimbang, sangat mengganggu dan membuat game ini menjadi kurang seru","pembagian tim gak seimbang, sangat mengganggu dan membuat game ini menjadi kurang seru",pembagian tim gak seimbang sangat mengganggu dan membuat game ini menjadi kurang seru,"['pembagian', 'tim', 'gak', 'seimbang', 'sangat', 'mengganggu', 'dan', 'membuat', 'game', 'ini', 'menjadi', 'kurang', 'seru']",<FreqDist with 13 samples and 13 outcomes>,"['pembagian', 'tim', 'gak', 'seimbang', 'mengganggu', 'seru']","['pembagian', 'tim', 'tidak,', 'seimbang', 'mengganggu', 'seru']","['bagi', 'tim', 'tidak', 'imbang', 'ganggu', 'seru']"
13,Banyak dark sistem males main ML BURIK,banyak dark sistem males main ml burik,banyak dark sistem males main ml burik,"['banyak', 'dark', 'sistem', 'males', 'main', 'ml', 'burik']",<FreqDist with 7 samples and 7 outcomes>,"['dark', 'sistem', 'males', 'burik']","['dark', 'sistim,', 'malas,', 'jelek,']","['dark', 'sistim', 'malas', 'jelek']"
14,Drak sistem anjingg game setingan tololll,drak sistem anjingg game setingan tololll,drak sistem anjingg game setingan tololll,"['drak', 'sistem', 'anjingg', 'game', 'setingan', 'tololll']",<FreqDist with 6 samples and 6 outcomes>,"['drak', 'sistem', 'anjingg', 'setingan', 'tololll']","['drak', 'sistim,', 'anjingg', 'setingan', 'tololll']","['drak', 'sistim', 'anjingg', 'ting', 'tololll']"
15,gabut aja,gabut aja,gabut aja,"['gabut', 'aja']",<FreqDist with 2 samples and 2 outcomes>,['gabut'],['gabut'],['gabut']
16,Gambranya tidak bagus..Game taik... Lelet padahal jaringan gua bagus... Sistem berlebihan.. jangan di download,gambranya tidak bagus..game taik... lelet padahal jaringan gua bagus... sistem berlebihan.. jangan di download,gambranya tidak bagus game taik lelet padahal jaringan gua bagus sistem berlebihan jangan di download,"['gambranya', 'tidak', 'bagus', 'game', 'taik', 'lelet', 'padahal', 'jaringan', 'gua', 'bagus', 'sistem', 'berlebihan', 'jangan', 'di', 'download']",<FreqDist with 14 samples and 15 outcomes>,"['gambranya', 'taik', 'lelet', 'jaringan', 'gua', 'sistem']","['gambranya', 'tahi,', 'lambat,', 'jaringan', 'saya,', 'sistim,']","['gambranya', 'tahi', 'lambat', 'jaring', 'saya', 'sistim']"
17,game ampas banyak dark sistem bug dan lain lain,game ampas banyak dark sistem bug dan lain lain,game ampas banyak dark sistem bug dan lain lain,"['game', 'ampas', 'banyak', 'dark', 'sistem', 'bug', 'dan', 'lain', 'lain']",<FreqDist with 8 samples and 9 outcomes>,"['ampas', 'dark', 'sistem']","['sampah,', 'dark', 'sistim,']","['sampah', 'dark', 'sistim']"
18,P mabar ff yg lebih seru,p mabar ff yg lebih seru,mabar ff yg lebih seru,"['mabar', 'ff', 'yg', 'lebih', 'seru']",<FreqDist with 5 samples and 5 outcomes>,"['ff', 'seru']","['free fire,', 'seru']","['free fire', 'seru']"
19,banyak bocah ingusan ni min mager gua ngerank,banyak bocah ingusan ni min mager gua ngerank,banyak bocah ingusan ni min mager gua ngerank,"['banyak', 'bocah', 'ingusan', 'ni', 'min', 'mager', 'gua', 'ngerank']",<FreqDist with 8 samples and 8 outcomes>,"['bocah', 'ingusan', 'mager', 'gua', 'ngerank']","['bocah', 'ingusan', 'mager', 'saya,', 'ngerank']","['bocah', 'ingus', 'mager', 'saya', 'ngerank']"
20,udah ckup drak sistem lu monton Tanggal 20 Pindah hok gw liat cukup dah,udah ckup drak sistem lu monton tanggal 20 pindah hok gw liat cukup dah,udah ckup drak sistem lu monton tanggal pindah hok gw liat cukup dah,"['udah', 'ckup', 'drak', 'sistem', 'lu', 'monton', 'tanggal', 'pindah', 'hok', 'gw', 'liat', 'cukup', 'dah']",<FreqDist with 13 samples and 13 outcomes>,"['ckup', 'drak', 'sistem', 'lu', 'monton', 'tanggal', 'hok', 'liat']","['cukup,', 'drak', 'sistim,', 'kamu,', 'moonton,', 'tanggal', 'hok', 'lihat,']","['cukup', 'drak', 'sistim', 'kamu', 'moonton', 'tanggal', 'hok', 'lihat']"
21,Game nya buruk tibaÂ² kena ban ðŸ™ðŸ™,game nya buruk tibaâ² kena ban ðÿ™ðÿ™,game nya buruk tiba kena ban,"['game', 'nya', 'buruk', 'tiba', 'kena', 'ban']",<FreqDist with 6 samples and 6 outcomes>,"['buruk', 'kena']","['buruk', 'kena,']","['buruk', 'kena']"
22,"Matchmaking nya ga sesuai, sistem nya rusak","matchmaking nya ga sesuai, sistem nya rusak",matchmaking nya ga sesuai sistem nya rusak,"['matchmaking', 'nya', 'ga', 'sesuai', 'sistem', 'nya', 'rusak']",<FreqDist with 6 samples and 7 outcomes>,"['sesuai', 'sistem', 'rusak']","['sesuai', 'sistim,', 'rusak']","['sesuai', 'sistim', 'rusak']"
23,"game sampah match tidak adil, sering nabrak role, banyak gb, apalagi banyak penjoki/banyak yang joki","game sampah match tidak adil, sering nabrak role, banyak gb, apalagi banyak penjoki/banyak yang joki",game sampah match tidak adil sering nabrak role banyak gb apalagi banyak penjoki banyak yang joki,"['game', 'sampah', 'match', 'tidak', 'adil', 'sering', 'nabrak', 'role', 'banyak', 'gb', 'apalagi', 'banyak', 'penjoki', 'banyak', 'yang', 'joki']",<FreqDist with 14 samples and 16 outcomes>,"['sampah', 'adil', 'nabrak', 'penjoki', 'joki']","['sampah', 'adil', 'nabrak', 'penjoki', 'joki']","['sampah', 'adil', 'nabrak', 'joki', 'joki']"
24,"Match macking ga seimbang, masa musuh pro timnya noob.. Pindah honor of king aja ges, seru parah ga ada dark sistem","match macking ga seimbang, masa musuh pro timnya noob.. pindah honor of king aja ges, seru parah ga ada dark sistem",match macking ga seimbang masa musuh pro timnya noob pindah honor of king aja ges seru parah ga ada dark sistem,"['match', 'macking', 'ga', 'seimbang', 'masa', 'musuh', 'pro', 'timnya', 'noob', 'pindah', 'honor', 'of', 'king', 'aja', 'ges', 'seru', 'parah', 'ga', 'ada', 'dark', 'sistem']",<FreqDist with 20 samples and 21 outcomes>,"['macking', 'seimbang', 'timnya', 'honor', 'of', 'king', 'ges', 'seru', 'parah', 'dark', 'sistem']","['macking', 'seimbang', 'timnya', 'honor', 'of', 'king', 'ges', 'seru', 'parah', 'dark', 'sistim,']","['macking', 'imbang', 'tim', 'honor', 'of', 'king', 'ges', 'seru', 'parah', 'dark', 'sistim']"
